Age,Industry,JobTitle,AnnualSalary,AdditionalCompensation,State,City,YearsExperience,YearsInField,Education,Gender,Race,TotalCompensation,id
25-34,Education (Higher Education),Research and Instruction Librarian,55000,0.0,Massachusetts,Boston,5-7 years,5-7 years,Master's degree,Woman,White,55000.0,25.0
25-34,"Accounting, Banking & Finance",Marketing Specialist,34000,0.0,Tennessee,Chattanooga,2 - 4 years,2 - 4 years,College degree,Woman,White,34000.0,47.0
25-34,Nonprofits,Program Manager,62000,3000.0,Wisconsin,Milwaukee,8 - 10 years,5-7 years,College degree,Woman,White,65000.0,55.0
25-34,"Accounting, Banking & Finance",Accounting Manager,60000,7000.0,South Carolina,Greenville,8 - 10 years,5-7 years,College degree,Woman,White,67000.0,45.0
25-34,Education (Higher Education),Scholarly Publishing Librarian,62000,0.0,New Hampshire,Hanover,8 - 10 years,2 - 4 years,Master's degree,Man,White,62000.0,33.0
25-34,Education (Primary/Secondary),Librarian,50000,0.0,Arizona,Yuma,5-7 years,5-7 years,Master's degree,Man,White,50000.0,4.0
45-54,Computing or Tech,Systems Analyst,112000,10000.0,Missouri,St. Louis,21 - 30 years,21 - 30 years,College degree,Woman,White,122000.0,29.0
35-44,"Accounting, Banking & Finance",Senior Accountant,45000,0.0,Florida,Palm Coast,21 - 30 years,21 - 30 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",45000.0,12.0
35-44,Education (Higher Education),Deputy Title IX Coordinator/ Assistant Director Office of Equity and Diversity,62000,0.0,Pennsylvania,Scranton,11 - 20 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin, White",62000.0,42.0
35-44,"Accounting, Banking & Finance",Manager of Information Services,100000,0.0,Michigan,Detroit,11 - 20 years,11 - 20 years,College degree,Man,"Asian or Asian American, White",100000.0,26.0
35-44,Education (Higher Education),Assistant Director of Academic Advising,54000,0.0,Florida,Boca Raton,11 - 20 years,11 - 20 years,Master's degree,Woman,White,54000.0,12.0
25-34,Health care,Data Programmer Analyst,74000,0.0,Pennsylvania,Philadelphia,5-7 years,5-7 years,Master's degree,Woman,White,74000.0,42.0
35-44,Government and Public Administration,Researcher,96000,1000.0,Ohio,Dayton,8 - 10 years,2 - 4 years,PhD,Woman,Asian or Asian American,97000.0,39.0
35-44,Education (Higher Education),Communications Specialist,60000,0.0,Michigan,Ann Arbor,11 - 20 years,1 year or less,Master's degree,Woman,White,60000.0,26.0
25-34,Nonprofits,Program Director,62000,0.0,District of Columbia,Washington DC,5-7 years,2 - 4 years,College degree,Man,White,62000.0,11.0
35-44,Law,Bookkeeper/Billing Manager,48000,4000.0,Maryland,Silver Spring,11 - 20 years,2 - 4 years,College degree,Woman,Another option not listed here or prefer not to answer,52000.0,24.0
35-44,Government and Public Administration,Economist,140000,0.0,District of Columbia,Washington,11 - 20 years,11 - 20 years,Master's degree,Woman,White,140000.0,11.0
25-34,Engineering or Manufacturing,Research Engineer,80000,0.0,Texas,San Antonio,5-7 years,5-7 years,College degree,Woman,White,80000.0,48.0
25-34,Nonprofits,Volunteer and Giving Coordinator,39000,0.0,Minnesota,Minneapolis,2 - 4 years,2 - 4 years,College degree,Woman,White,39000.0,27.0
25-34,"Accounting, Banking & Finance",Financial Advisor,230000,0.0,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman,White,230000.0,29.0
35-44,"Accounting, Banking & Finance",Accounting Manager,110000,15000.0,Virginia,Richmond,21 - 30 years,11 - 20 years,College degree,Woman,White,125000.0,51.0
25-34,Nonprofits,Administrative and HR Manager,50000,0.0,District of Columbia,Washington,5-7 years,2 - 4 years,College degree,Woman,White,50000.0,11.0
35-44,Education (Higher Education),Senior IRB Analyst,68000,0.0,North Carolina,Research Triangle,5-7 years,2 - 4 years,Master's degree,Woman,White,68000.0,37.0
25-34,"Accounting, Banking & Finance",Senior Administrator ,76000,10000.0,New York,Manhattan,5-7 years,2 - 4 years,College degree,Woman,White,86000.0,36.0
35-44,Government and Public Administration,Staff Services Manager II,78000,0.0,California,Sacramento,8 - 10 years,5-7 years,Master's degree,Woman,White,78000.0,6.0
25-34,"Accounting, Banking & Finance",Receptionist,37000,0.0,Texas,Dallas,2 - 4 years,2 - 4 years,College degree,Woman,White,37000.0,48.0
45-54,Engineering or Manufacturing,Lead Engineer,100000,50000.0,Georgia,waynesboro,21 - 30 years,21 - 30 years,College degree,Woman,White,150000.0,13.0
25-34,Government and Public Administration,Manager of Data Integrity and Prospect Research,65000,0.0,Virginia,Richmond,5-7 years,5-7 years,College degree,Man,White,65000.0,51.0
25-34,Computing or Tech,Principal Software Engineer,187500,5000.0,Pennsylvania,Pittsburgh,8 - 10 years,5-7 years,College degree,Woman,White,192500.0,42.0
25-34,Computing or Tech,Intelligence Analyst,110000,20000.0,Virginia,"Arlington, VA",8 - 10 years,8 - 10 years,Master's degree,Man,White,130000.0,51.0
25-34,Nonprofits,Project Manager,66625,1500.0,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman,"Hispanic, Latino, or Spanish origin, White",68125.0,25.0
35-44,Computing or Tech,Mobile developer,144600,2500.0,Massachusetts,Boston,5-7 years,5-7 years,PhD,Woman,White,147100.0,25.0
35-44,Computing or Tech,Product Design Director,200850,40000.0,North Carolina,Chapel Hill,11 - 20 years,11 - 20 years,College degree,Woman,White,240850.0,37.0
35-44,Education (Higher Education),Research and Development Engineer 3,96000,0.0,California,Berkeley,5-7 years,5-7 years,PhD,Woman,White,96000.0,6.0
25-34,Education (Primary/Secondary),Science Teacher (Public High School),53000,1000.0,Minnesota,Apple Valley,5-7 years,1 year or less,Master's degree,Woman,White,54000.0,27.0
25-34,"Marketing, Advertising & PR","Senior Manager, Programmatic",95000,10000.0,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman,White,105000.0,17.0
35-44,Computing or Tech,Managed Services Sales Coordinator,72000,3000.0,Michigan,Troy,11 - 20 years,5-7 years,Master's degree,Woman,White,75000.0,26.0
35-44,Engineering or Manufacturing,Water Resources Engineer,106000,0.0,Massachusetts,Boston,21 - 30 years,11 - 20 years,Master's degree,Woman,White,106000.0,25.0
25-34,Government and Public Administration,Program Officer,115000,0.0,District of Columbia,DC,5-7 years,5-7 years,PhD,Woman,"Hispanic, Latino, or Spanish origin",115000.0,11.0
25-34,Law,Legal Secretary,33200,0.0,New Jersey,Linden,8 - 10 years,2 - 4 years,Some college,Woman,White,33200.0,34.0
25-34,Education (Higher Education),Coordinator,52000,0.0,Illinois,Champaign,8 - 10 years,8 - 10 years,College degree,Woman,White,52000.0,17.0
25-34,Education (Higher Education),Research Programmer,70000,0.0,Rhode Island,Providence,5-7 years,2 - 4 years,Master's degree,Non-binary,White,70000.0,44.0
25-34,Nonprofits,"Manager, Natural Climate Solutions Development",84000,8400.0,District of Columbia,District of Columbia,5-7 years,5-7 years,Master's degree,Woman,White,92400.0,11.0
35-44,Health care,AR Manager,53000,0.0,Illinois,Bloomington,21 - 30 years,11 - 20 years,Master's degree,Woman,White,53000.0,17.0
25-34,Computing or Tech,Technical specialist,34000,2000.0,Minnesota,Minneapolis,5-7 years,5-7 years,College degree,Woman,White,36000.0,27.0
25-34,Nonprofits,Programming Coordinator,38000,0.0,Colorado,Denver,5-7 years,2 - 4 years,Master's degree,Woman,White,38000.0,8.0
25-34,Government and Public Administration,City Research Scientist II,87000,0.0,New York,New York City,5-7 years,2 - 4 years,Master's degree,Man,White,87000.0,36.0
25-34,Engineering or Manufacturing,Marketing Coordinator,45000,0.0,South Carolina,Columbia,5-7 years,5-7 years,Some college,Woman,White,45000.0,45.0
35-44,Computing or Tech,Tech Writer,88000,0.0,Maryland,prefer not to answer,11 - 20 years,8 - 10 years,College degree,Woman,Another option not listed here or prefer not to answer,88000.0,24.0
35-44,Nonprofits,Supervisory Archivist,71000,0.0,New York,NYC (remotely),11 - 20 years,8 - 10 years,Master's degree,Woman,White,71000.0,36.0
